Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type
20.75,1.0,0.007564836,13.0,107.8622,1999.0,1.0,0.0,1.0
8.3,0.0,0.038427677,4.0,87.3198,2007.0,1.0,1.0,1.0
14.6,1.0,0.099574908,11.0,241.7538,1998.0,0.0,2.0,0.0
7.315,1.0,0.015388393,13.0,155.034,2007.0,1.0,1.0,1.0
14.618,0.0,0.118599314,4.0,234.23,1985.0,1.0,2.0,3.0
9.8,0.0,0.063817206,6.0,117.1492,1997.0,2.0,0.0,1.0
19.35,0.0,0.082601537,0.0,50.1034,2009.0,1.0,2.0,2.0
10.225,1.0,0.015782495,0.0,81.0592,1985.0,1.0,2.0,3.0
6.305,0.0,0.12336544599999999,13.0,95.7436,2002.0,2.0,1.0,1.0
5.985,1.0,0.005698435,0.0,186.8924,2007.0,2.0,1.0,1.0
16.6,1.0,0.103569075,6.0,118.3466,2007.0,0.0,1.0,1.0
6.59,1.0,0.10581147,6.0,85.3908,2002.0,2.0,1.0,1.0
14.879999999999999,1.0,0.171079215,8.0,240.4196,1985.0,2.0,0.0,0.0
4.785,1.0,0.092737611,1.0,122.3098,1999.0,1.0,0.0,1.0
16.75,1.0,0.021206463999999998,7.0,52.0298,1987.0,0.0,2.0,1.0
6.135,0.0,0.0794507,0.0,151.6366,1999.0,1.0,0.0,1.0
19.85,1.0,0.05413521,12.0,198.7768,2002.0,1.0,1.0,1.0
17.85,1.0,0.037980963,14.0,192.2188,2009.0,1.0,2.0,2.0
11.053999999999998,1.0,0.028184344,9.0,109.6912,1985.0,1.0,2.0,3.0
13.6,1.0,0.196897637,13.0,193.7136,1998.0,2.0,2.0,0.0
7.1,1.0,0.109920138,6.0,175.00799999999998,1987.0,0.0,2.0,1.0
19.2,1.0,0.182619235,11.0,239.9196,2004.0,2.0,1.0,1.0
13.65,1.0,0.06563084400000001,5.0,47.7402,1997.0,2.0,0.0,1.0
15.35,1.0,0.027447057,11.0,142.347,1985.0,2.0,0.0,0.0
19.2,1.0,0.035178935,13.0,180.7318,2004.0,2.0,1.0,1.0
6.785,0.0,0.038455125,13.0,209.4928,1998.0,2.0,2.0,0.0
13.0,1.0,0.035102094,9.0,47.6034,2004.0,2.0,1.0,1.0
5.825,1.0,0.09148523199999999,9.0,161.3894,1997.0,2.0,0.0,1.0
13.8,1.0,0.058102469000000004,4.0,244.6802,1997.0,2.0,0.0,1.0
12.8,1.0,0.022940349,6.0,116.5492,2004.0,2.0,1.0,1.0
10.072999999999999,1.0,0.06737681,9.0,32.09,1985.0,2.0,0.0,0.0
9.5,0.0,0.022148582000000003,10.0,194.9452,2009.0,1.0,2.0,2.0
12.5,1.0,0.006792706999999999,9.0,42.4112,2009.0,1.0,2.0,2.0
12.809999999999999,0.0,0.024870035,6.0,217.7508,1985.0,1.0,2.0,3.0
5.78,1.0,0.096931426,1.0,164.2552,2007.0,0.0,1.0,1.0
13.066000000000003,0.0,0.008693632,10.0,205.09799999999998,1985.0,1.0,2.0,3.0
13.959999999999999,1.0,0.078961284,3.0,80.3644,1985.0,1.0,2.0,3.0
10.395,1.0,0.050479462999999995,0.0,114.0176,1998.0,0.0,2.0,0.0
18.35,1.0,0.08948591800000001,9.0,192.1504,2007.0,0.0,1.0,1.0
12.825,1.0,0.01594238,9.0,103.3964,1985.0,1.0,2.0,3.0
21.1,1.0,0.029127115,9.0,143.3786,2009.0,1.0,2.0,2.0
19.75,1.0,0.06923642099999999,6.0,116.6466,1998.0,0.0,2.0,0.0
8.43,1.0,0.17869996100000002,9.0,173.9422,2007.0,2.0,1.0,1.0
15.35,1.0,0.015740089,11.0,144.847,2009.0,1.0,2.0,2.0
6.71,1.0,0.059565107,1.0,217.2166,1998.0,0.0,2.0,0.0
10.195,1.0,0.126277921,3.0,112.1886,1987.0,0.0,2.0,1.0
11.65,1.0,0.291322397,4.0,55.8298,1998.0,2.0,2.0,0.0
12.85,1.0,0.053433907999999995,8.0,183.2608,2004.0,2.0,1.0,1.0
12.15,1.0,0.131155007,5.0,248.146,2004.0,2.0,1.0,1.0
18.25,1.0,0.07519492900000001,13.0,124.9046,1997.0,2.0,0.0,1.0
5.98,1.0,0.075557965,7.0,57.0614,1997.0,2.0,0.0,1.0
12.65,1.0,0.122928415,10.0,106.6938,1987.0,0.0,2.0,1.0
13.1,0.0,0.044442342,6.0,181.0318,2007.0,1.0,1.0,1.0
20.7,0.0,0.100741569,6.0,122.3388,2007.0,2.0,1.0,1.0
7.356,0.0,0.039651481,6.0,188.7188,1985.0,1.0,2.0,3.0
7.855,1.0,0.011278673000000001,3.0,188.8188,1999.0,1.0,0.0,1.0
13.35,0.0,0.0,13.0,179.666,1987.0,0.0,2.0,1.0
17.25,1.0,0.10695266099999999,5.0,38.3822,1987.0,0.0,2.0,1.0
10.954,0.0,0.129825457,13.0,263.2568,1985.0,2.0,0.0,0.0
10.395,0.0,0.029947408999999998,4.0,90.1514,2002.0,2.0,1.0,1.0
8.315,0.0,0.035565457,0.0,144.8444,2004.0,2.0,1.0,1.0
20.7,0.0,0.047760002,4.0,214.9876,2007.0,2.0,1.0,1.0
11.528000000000002,1.0,0.015089146999999999,9.0,141.347,1985.0,1.0,2.0,3.0
21.35,1.0,0.07818366,6.0,96.8094,2007.0,0.0,1.0,1.0
5.88,1.0,0.086632125,5.0,152.6998,2002.0,1.0,1.0,1.0
9.718,0.0,0.064306056,15.0,90.3804,1985.0,1.0,2.0,3.0
7.435,,0.08493006,15.0,165.8158,2007.0,0.0,1.0,1.0
14.65,1.0,0.072066634,9.0,262.5594,1997.0,2.0,0.0,1.0
14.0,1.0,0.041256807,15.0,181.2634,1987.0,0.0,2.0,1.0
18.2,1.0,0.058587558,9.0,221.6456,2002.0,1.0,1.0,1.0
17.6,1.0,0.015711434,9.0,180.0976,1999.0,1.0,0.0,1.0
11.796,1.0,0.032714163,0.0,108.1938,1985.0,1.0,2.0,3.0
7.71,0.0,0.047782552,4.0,122.3756,2009.0,1.0,2.0,2.0
7.81,1.0,0.067560171,14.0,245.2486,1999.0,1.0,0.0,1.0
16.35,1.0,0.029505077,9.0,256.2646,2002.0,1.0,1.0,1.0
13.0,0.0,0.045076104000000006,14.0,173.7054,2002.0,2.0,1.0,1.0
9.624999999999998,1.0,0.29954415300000004,13.0,124.8704,1985.0,2.0,0.0,0.0
